Running: maxcut (rank=1)
==== maxcut TT-IPM Batch Run Started at Tue  2 Jun 14:11:05 BST 2026 ====

▶ Running dim=13 with config=configs/maxcut_13.yaml at Tue  2 Jun 14:11:05 BST 2026

===== Processing Rank: 1 =====
Running seed 83
Creating Problem for dim=13, rank=1...
===Terminated Graph Sampling=== rank:  [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
it 000 | main   | XZ  | ineq=not_in_use | mu=1.00e+00 eta=1.00e-03 sigma=5.00e-01 | err c/p/d=6.07e-03/2.19e+01/2.31e+01 | ok=cpd | rmax X/Y/Z/T=1/1/1/-
it 001 | main   | XZ  | ineq=not_in_use | mu=9.30e-02 eta=1.00e-03 sigma=2.18e-03 | err c/p/d=5.25e-03/1.56e+00/1.96e+01 | ok=cpd | rmax X/Y/Z/T=4/3/4/-
it 002 | main   | XZ  | ineq=not_in_use | mu=1.27e-03 eta=1.00e-03 sigma=2.29e-02 | err c/p/d=6.05e-04/5.98e-01/1.72e+01 | ok=cpd | rmax X/Y/Z/T=3/3/4/-
it 003 | main   | AHO | ineq=not_in_use | mu=1.37e-03 eta=1.00e-03 sigma=5.88e-01 | err c/p/d=1.38e-04/4.85e-01/1.40e+01 | ok=cpd | rmax X/Y/Z/T=5/2/4/-
it 004 | main   | AHO | ineq=not_in_use | mu=5.83e-04 eta=1.00e-03 sigma=4.16e-01 | err c/p/d=8.58e-05/4.55e-02/4.80e+00 | ok=cpd | rmax X/Y/Z/T=7/3/5/-
it 005 | main   | AHO | ineq=not_in_use | mu=2.95e-04 eta=5.90e-04 sigma=8.40e-01 | err c/p/d=3.55e-05/1.44e-04/2.76e+00 | ok=CPd | rmax X/Y/Z/T=9/3/5/-
it 006 | main   | AHO | ineq=not_in_use | mu=2.94e-04 eta=5.88e-04 sigma=0.00e+00 | err c/p/d=3.51e-05/2.08e-04/1.38e-01 | ok=CPd | rmax X/Y/Z/T=9/3/5/-
it 007 | main   | AHO | ineq=not_in_use | mu=2.94e-04 eta=5.88e-04 sigma=0.00e+00 | err c/p/d=3.51e-05/2.11e-04/6.89e-03 | ok=CPd | rmax X/Y/Z/T=9/3/5/-
it 008 | finish | AHO | ineq=not_in_use | mu=2.94e-04 eta=5.88e-04 sigma=0.00e+00 | err c/p/d=3.51e-05/2.11e-04/3.45e-04 | ok=CPD | rmax X/Y/Z/T=9/3/5/-
it 009 | finish | AHO | ineq=not_in_use | mu=1.32e-04 eta=2.64e-04 sigma=0.00e+00 | err c/p/d=1.50e-05/4.65e-04/1.78e-04 | ok=CPD | rmax X/Y/Z/T=10/3/5/-
warn   | step-eig | target=miss | relres=inf > 1.00e-08 | action=keep-reset
it 010 | finish | AHO | ineq=not_in_use | mu=3.00e-05 eta=1.00e-04 sigma=0.00e+00 | err c/p/d=3.41e-06/4.65e-04/1.82e-05 | ok=CPD | rmax X/Y/Z/T=10/3/5/-
it 011 | finish | AHO | ineq=not_in_use | mu=2.06e-05 eta=1.00e-04 sigma=0.00e+00 | err c/p/d=2.34e-06/4.65e-04/2.71e-06 | ok=CPD | rmax X/Y/Z/T=10/3/5/-
it 012 | finish | AHO | ineq=not_in_use | mu=1.12e-06 eta=1.00e-04 sigma=0.00e+00 | err c/p/d=1.25e-07/2.42e-04/2.58e-06 | ok=CPD | rmax X/Y/Z/T=11/3/5/-
