Running: corr_clust (rank=4)
==== corr_clust TT-IPM Batch Run Started at Tue  2 Jun 16:18:07 BST 2026 ====

▶ Running dim=9 with config=configs/corr_clust_9.yaml at Tue  2 Jun 16:18:07 BST 2026

===== Processing Rank: 4 =====
Running seed 295
Creating Problem for dim=9, rank=4...
===Terminated Graph Sampling=== rank:  [2, 2, 3, 4, 3, 3, 2, 2]
===Terminated Graph Sampling=== rank:  [1, 1, 1, 1, 1, 1, 1, 1]
Actual graph TT-rank: [2, 2, 3, 4, 3, 3, 2, 2]
Obj TT-rank: [3, 5, 10, 12, 11, 11, 6, 3]
it 000 | main   | XZ  | ineq=active   | mu=3.54e-01 eta=1.00e-03 sigma=5.00e-01 | err c/p/d=3.57e-03/1.06e+01/1.19e+01 | ok=cpd | rmax X/Y/Z/T=5/1/1/4
it 001 | main   | XZ  | ineq=active   | mu=2.52e-01 eta=1.00e-03 sigma=5.10e-02 | err c/p/d=3.51e-03/7.53e+00/7.46e+00 | ok=cpd | rmax X/Y/Z/T=37/6/13/12
it 002 | main   | XZ  | ineq=active   | mu=4.03e-02 eta=1.00e-03 sigma=6.05e-02 | err c/p/d=3.15e-03/6.52e-01/1.64e+00 | ok=cpd | rmax X/Y/Z/T=125/7/35/30
it 003 | main   | AHO | ineq=active   | mu=6.59e-03 eta=1.00e-03 sigma=2.98e-02 | err c/p/d=1.24e-03/2.47e-01/1.75e-01 | ok=cpd | rmax X/Y/Z/T=128/8/36/32
it 004 | main   | AHO | ineq=active   | mu=7.08e-03 eta=1.00e-03 sigma=6.07e-01 | err c/p/d=1.00e-03/2.19e-02/1.39e-01 | ok=cpd | rmax X/Y/Z/T=129/8/36/32
it 005 | main   | AHO | ineq=active   | mu=5.81e-03 eta=1.00e-03 sigma=5.87e-01 | err c/p/d=8.22e-04/1.76e-02/1.04e-01 | ok=cpd | rmax X/Y/Z/T=129/8/36/32
it 006 | main   | AHO | ineq=active   | mu=5.38e-03 eta=1.00e-03 sigma=7.56e-01 | err c/p/d=7.61e-04/1.51e-02/9.18e-02 | ok=cpd | rmax X/Y/Z/T=129/8/36/32
it 007 | main   | AHO | ineq=active   | mu=5.04e-03 eta=1.00e-03 sigma=7.87e-01 | err c/p/d=7.13e-04/1.29e-02/8.21e-02 | ok=cpd | rmax X/Y/Z/T=129/8/36/32
it 008 | main   | AHO | ineq=active   | mu=4.90e-03 eta=1.00e-03 sigma=8.83e-01 | err c/p/d=6.94e-04/1.15e-02/7.78e-02 | ok=cpd | rmax X/Y/Z/T=129/8/36/32
it 009 | main   | AHO | ineq=active   | mu=4.76e-03 eta=1.00e-03 sigma=9.20e-01 | err c/p/d=6.76e-04/1.06e-02/7.38e-02 | ok=cpd | rmax X/Y/Z/T=129/8/36/32
